Station_ID,Station_Name,Line,Zone,Latitude,Longitude,Daily_Capacity,Station_Type
ST001,Hyderabad Central 01,Red,Z1,13.784141,80.199566,17233,Regular
ST002,Bengaluru Central 02,Blue,Z2,14.837753,78.774587,20083,Regular
ST003,Chennai Central 03,Green,Z3,17.14785,81.525719,27194,Regular
ST004,Mumbai Central 04,Purple,Z4,16.390316,78.491514,11966,Regular
ST005,Delhi Central 05,Red,Z5,18.118292,81.599251,14910,Interchange
ST006,Pune Central 06,Blue,Z1,16.940027,79.575768,24805,Terminal
ST007,Kolkata Central 07,Green,Z2,17.342424,79.241903,19884,Regular
ST008,Ahmedabad Central 08,Purple,Z3,14.328446,78.131665,16487,Regular
ST009,Jaipur Central 09,Red,Z4,15.691993,79.15456,14582,Regular
ST010,Kochi Central 10,Blue,Z5,12.870623,79.23851,25569,Regular
ST011,Hyderabad Central 11,Green,Z1,14.808494,77.976988,20371,Interchange
ST012,Bengaluru Central 12,Purple,Z2,15.194222,78.499958,23656,Terminal
ST013,Chennai Central 13,Red,Z3,13.951789,81.37312,33796,Regular
ST014,Mumbai Central 14,Blue,Z4,16.136903,78.725503,29329,Regular
ST015,Delhi Central 15,Green,Z5,18.007509,79.816887,23662,Regular
ST016,Pune Central 16,Purple,Z1,17.752473,78.596709,19117,Regular
ST017,Kolkata Central 17,Red,Z2,16.627972,78.569102,9194,Interchange
ST018,Ahmedabad Central 18,Blue,Z3,16.654625,78.13946,14323,Terminal
ST019,Jaipur Central 19,Green,Z4,15.512107,79.900142,24546,Regular
ST020,Kochi Central 20,Purple,Z5,16.821824,79.742415,12289,Regular
ST021,Hyderabad Central 21,Red,Z1,16.218268,78.860722,17045,Regular
ST022,Bengaluru Central 22,Blue,Z2,15.521563,79.349855,18765,Regular
ST023,Chennai Central 23,Green,Z3,16.516016,79.885888,33251,Interchange
ST024,Mumbai Central 24,Purple,Z4,12.809913,80.970155,18655,Terminal
ST025,Delhi Central 25,Red,Z5,15.656613,78.632723,27357,Regular
ST026,Pune Central 26,Blue,Z1,13.313953,81.52352,20999,Regular
ST027,Kolkata Central 27,Green,Z2,18.243549,77.293676,14174,Regular
ST028,Ahmedabad Central 28,Purple,Z3,16.815355,78.571191,17030,Regular
ST029,Jaipur Central 29,Red,Z4,15.918774,79.082855,12325,Interchange
ST030,Kochi Central 30,Blue,Z5,18.071554,81.441977,28678,Terminal
ST031,Hyderabad Central 31,Green,Z1,16.215145,77.801372,9946,Regular
ST032,Bengaluru Central 32,Purple,Z2,12.929978,78.488547,33518,Regular
ST033,Chennai Central 33,Red,Z3,14.348874,80.35913,8672,Regular
ST034,Mumbai Central 34,Blue,Z4,13.310887,77.064289,20646,Regular
ST035,Delhi Central 35,Green,Z5,16.123737,79.457417,22572,Interchange
ST036,Pune Central 36,Purple,Z1,15.902131,81.452296,23839,Terminal
ST037,Kolkata Central 37,Red,Z2,17.851183,77.941286,14141,Regular
ST038,Ahmedabad Central 38,Blue,Z3,17.132496,80.195131,33380,Regular
ST039,Jaipur Central 39,Green,Z4,16.42784,79.730301,29038,Regular
ST040,Kochi Central 40,Purple,Z5,14.082948,79.99658,32684,Regular
ST041,Hyderabad Central 41,Red,Z1,17.278337,77.673807,29085,Interchange
ST042,Bengaluru Central 42,Blue,Z2,15.015584,80.830182,24234,Terminal
ST043,Chennai Central 43,Green,Z3,13.172429,80.034072,23553,Regular
ST044,Mumbai Central 44,Purple,Z4,16.255913,78.606688,30999,Regular
ST045,Delhi Central 45,Red,Z5,16.406878,78.690764,22758,Regular
ST046,Pune Central 46,Blue,Z1,13.505894,78.399959,25721,Regular
ST047,Kolkata Central 47,Green,Z2,12.979951,77.419547,32935,Interchange
ST048,Ahmedabad Central 48,Purple,Z3,14.07434,79.580413,22534,Terminal
ST049,Jaipur Central 49,Red,Z4,16.427632,81.405931,27786,Regular
ST050,Kochi Central 50,Blue,Z5,14.552734,78.568334,16942,Regular
ST051,Hyderabad Central 51,Green,Z1,13.448173,80.315917,15103,Regular
ST052,Bengaluru Central 52,Purple,Z2,15.401527,79.791487,29951,Regular
ST053,Chennai Central 53,Red,Z3,18.071641,80.494576,21861,Interchange
ST054,Mumbai Central 54,Blue,Z4,17.692241,78.078953,27861,Terminal
ST055,Delhi Central 55,Green,Z5,16.375913,80.586973,33330,Regular
ST056,Pune Central 56,Purple,Z1,14.690821,80.443974,30583,Regular
ST057,Kolkata Central 57,Red,Z2,16.124203,79.046805,10833,Regular
ST058,Ahmedabad Central 58,Blue,Z3,14.741766,81.817424,9847,Regular
ST059,Jaipur Central 59,Green,Z4,13.990879,77.56819,25411,Interchange
ST060,Kochi Central 60,Purple,Z5,13.355394,78.335995,17295,Terminal
