Train_ID,Train_Model,Manufacture_Year,Capacity,Coach_Count,Energy_Type,Maintenance_Date,Train_Status
TR0001,Metro-X1,2014,1500,6,Electric,2026-03-18,Active
TR0002,Metro-X2,2017,900,8,Electric,2026-06-10,Active
TR0003,Metro-Pro,2016,1500,4,Electric,2026-04-12,Active
TR0004,Metro-EV,2021,1500,8,Hybrid,2026-05-14,Active
TR0005,Metro-X1,2015,900,6,Electric,2026-07-07,Active
TR0006,Metro-X2,2014,900,6,Electric,2026-08-20,Active
TR0007,Metro-Pro,2020,900,8,Electric,2026-04-22,Active
TR0008,Metro-EV,2016,1100,6,Hybrid,2026-05-17,Active
TR0009,Metro-X1,2014,1500,6,Electric,2026-01-18,Active
TR0010,Metro-X2,2017,900,4,Electric,2026-07-14,Active
TR0011,Metro-Pro,2019,1300,4,Electric,2026-06-22,Active
TR0012,Metro-EV,2015,1500,8,Hybrid,2026-03-08,Active
TR0013,Metro-X1,2019,1300,8,Electric,2026-01-20,Active
TR0014,Metro-X2,2018,1100,6,Electric,2026-02-08,Active
TR0015,Metro-Pro,2014,1100,8,Electric,2026-05-19,Active
TR0016,Metro-EV,2014,1100,6,Hybrid,2026-08-06,Active
TR0017,Metro-X1,2024,1100,8,Electric,2026-03-27,Active
TR0018,Metro-X2,2022,1300,4,Electric,2026-02-19,Active
TR0019,Metro-Pro,2019,1500,6,Electric,2026-07-04,Active
TR0020,Metro-EV,2018,900,8,Hybrid,2026-08-03,Active
TR0021,Metro-X1,2017,900,4,Electric,2026-05-13,Active
TR0022,Metro-X2,2022,1100,8,Electric,2026-01-06,Active
TR0023,Metro-Pro,2018,1100,6,Electric,2026-08-09,Active
TR0024,Metro-EV,2023,900,4,Hybrid,2026-04-13,Active
TR0025,Metro-X1,2015,1300,8,Electric,2026-05-08,Active
TR0026,Metro-X2,2018,1100,6,Electric,2026-05-18,Maintenance
TR0027,Metro-Pro,2015,1300,4,Electric,2026-08-01,Active
TR0028,Metro-EV,2014,900,8,Hybrid,2026-07-27,Active
TR0029,Metro-X1,2021,1100,6,Electric,2026-03-30,Active
TR0030,Metro-X2,2022,1300,8,Electric,2026-03-29,Active
TR0031,Metro-Pro,2021,1500,4,Electric,2026-08-16,Maintenance
TR0032,Metro-EV,2017,1100,6,Hybrid,2026-02-03,Active
TR0033,Metro-X1,2015,1100,4,Electric,2026-01-19,Active
TR0034,Metro-X2,2016,900,6,Electric,2026-08-27,Active
TR0035,Metro-Pro,2017,900,4,Electric,2026-08-08,Active
TR0036,Metro-EV,2024,1300,4,Hybrid,2026-03-27,Active
TR0037,Metro-X1,2019,1500,6,Electric,2026-05-15,Maintenance
TR0038,Metro-X2,2024,1300,4,Electric,2026-04-16,Active
TR0039,Metro-Pro,2017,1300,8,Electric,2026-02-18,Active
TR0040,Metro-EV,2016,900,8,Hybrid,2026-07-30,Active
TR0041,Metro-X1,2015,900,4,Electric,2026-08-14,Maintenance
TR0042,Metro-X2,2023,1300,4,Electric,2026-04-14,Active
TR0043,Metro-Pro,2015,900,6,Electric,2026-01-27,Active
TR0044,Metro-EV,2025,1100,6,Hybrid,2026-07-01,Active
TR0045,Metro-X1,2019,900,8,Electric,2026-06-17,Active
TR0046,Metro-X2,2025,1500,8,Electric,2026-06-28,Maintenance
TR0047,Metro-Pro,2017,1300,8,Electric,2026-07-05,Active
TR0048,Metro-EV,2019,1100,4,Hybrid,2026-08-07,Active
TR0049,Metro-X1,2015,1300,8,Electric,2026-04-30,Active
TR0050,Metro-X2,2017,900,4,Electric,2026-05-03,Active
TR0051,Metro-Pro,2025,1300,6,Electric,2026-03-22,Active
TR0052,Metro-EV,2022,1300,6,Hybrid,2026-02-15,Active
TR0053,Metro-X1,2014,1300,6,Electric,2026-04-05,Active
TR0054,Metro-X2,2014,900,6,Electric,2026-02-13,Active
TR0055,Metro-Pro,2025,1300,6,Electric,2026-08-01,Active
TR0056,Metro-EV,2016,900,4,Hybrid,2026-04-06,Active
TR0057,Metro-X1,2020,900,4,Electric,2026-01-21,Active
TR0058,Metro-X2,2022,1500,4,Electric,2026-04-02,Active
