Transaction_ID,Date,Department_ID,Region_ID,Product_Category,Budget_Revenue,Actual_Revenue,Budget_Expense,Actual_Expense,Headcount,Status,Revenue_Variance,Expense_Variance
TXN0000001,2025-02-04,D002,R006,SERVICES,152517.2,160356.97,83119.61,86479.52,40,Completed,7839.7699999999895,3359.9100000000035
TXN0000002,2024-06-03,D007,R001,CONSULTING,160532.29,113235.88,85332.01,112580.99,12,Completed,-47296.41,27248.98000000001
TXN0000003,2024-02-24,D004,R001,SUBSCRIPTION,146653.57,135614.1,83293.49,85433.93,148,Completed,-11039.470000000001,2140.439999999988
TXN0000004,2025-07-23,D009,R001,CONSULTING,102211.3,109539.54,79821.25,77538.46,6,Completed,7328.239999999991,-2282.7899999999936
TXN0000005,2025-03-16,D007,R004,SERVICES,141701.71,143758.25,65623.42,48526.24,91,Completed,2056.540000000008,-17097.18
TXN0000006,2025-05-12,D002,R002,HARDWARE,196214.71,207868.81,138232.71,129333.33,159,Completed,11654.100000000006,-8899.37999999999
TXN0000007,2024-12-09,D001,R001,SUBSCRIPTION,183689.29,175188.9,92964.0,76749.54,101,Completed,-8500.390000000014,-16214.460000000006
TXN0000008,2026-10-01,D009,R001,SUPPORT,101963.16,83193.46,56508.04,49064.65,152,Completed,-18769.699999999997,-7443.389999999999
TXN0000009,2024-12-06,D002,R005,HARDWARE,161450.53,188691.95,128299.61,115507.99,64,Completed,27241.420000000013,-12791.619999999995
TXN0000010,2026-01-17,D007,R004,SUPPORT,95250.16,75668.21,51611.28,68440.35,46,Completed,-19581.949999999997,16829.070000000007
TXN0000011,2024-05-26,D006,R003,HARDWARE,260827.58,292566.6,166605.7,144819.58,160,Completed,31739.01999999999,-21786.120000000024
TXN0000012,2026-04-08,D009,R001,SERVICES,148347.84,142152.36,98267.41,82408.22,102,Completed,-6195.4800000000105,-15859.190000000002
TXN0000013,2024-04-24,D009,R001,HARDWARE,252176.02,293184.82,176464.77,169193.78,63,Completed,41008.80000000002,-7270.989999999991
TXN0000014,2025-08-03,D006,R003,SOFTWARE,191709.22,201603.44,137069.44,137944.43,150,Completed,9894.220000000001,874.9899999999907
TXN0000015,2026-07-28,D004,R001,CONSULTING,126958.56,125860.2,72364.07,77067.9,41,Completed,-1098.3600000000006,4703.829999999987
TXN0000016,2025-06-22,D003,R003,SUBSCRIPTION,202563.35,181183.92,82536.91,70826.15,154,Pending,-21379.429999999993,-11710.76000000001
TXN0000017,2024-10-10,D010,R002,SERVICES,163068.13,188071.99,89471.02,82027.89,135,Pending,25003.859999999986,-7443.130000000005
TXN0000018,2024-09-11,D002,R002,SOFTWARE,157253.48,146805.27,104233.15,103297.13,165,Completed,-10448.210000000021,-936.0199999999895
TXN0000019,2026-02-20,D007,R004,CONSULTING,125115.05,123401.48,73147.42,69245.55,157,Pending,-1713.570000000007,-3901.8699999999953
TXN0000020,2024-01-24,D009,R001,SUBSCRIPTION,155354.97,157003.29,95818.33,100341.24,179,Completed,1648.320000000007,4522.9100000000035
TXN0000021,2025-11-27,D009,R001,SUPPORT,58915.91,59132.74,54766.68,44851.14,33,Completed,216.82999999999447,-9915.54
TXN0000022,2025-06-23,D007,R004,SOFTWARE,173767.5,168094.43,115307.23,116309.59,133,Completed,-5673.070000000007,1002.3600000000006
