Transaction_ID,Date,Department_ID,Region_ID,Product_Category,Budget_Revenue,Actual_Revenue,Budget_Expense,Actual_Expense,Headcount,Status
TXN0000001,2025-04-02 00:00:00,D002,R006,Services,152517.2,160356.97,83119.61,86479.52,40,Completed
TXN0000002,2024-03-06 00:00:00,,R001,Consulting,160532.29,113235.88,85332.01,112580.99,12,Completed
TXN0000003,2024-02-24 00:00:00,D004,R001,SUBSCRIPTION,146653.57,135614.1,83293.49,85433.93,148,Completed
TXN0000004,2025-07-23 00:00:00,D009,R001,Consulting,102211.3,109539.54,79821.25,77538.46,6,Completed
TXN0000005,2025-03-16 00:00:00,D007,R004,Services,141701.71,143758.25,65623.42,48526.24,91,Completed
TXN0000006,2025-12-05 00:00:00,D002,R002,Hardware,196214.71,207868.81,138232.71,129333.33,159,Completed
TXN0000007,2024-09-12 00:00:00,D001,R001,Subscription,183689.29,175188.9,"₹1,25,000",76749.54,101,Completed
TXN0000008,2026-01-10 00:00:00,D009,R001,Support,101963.16,83193.46,56508.04,49064.65,152,Completed
TXN0000009,2024-06-12 00:00:00,D002,R005,Hardware,161450.53,188691.95,128299.61,115507.99,64,Completed
TXN0000010,2026-01-17 00:00:00,D007,R004,Support,95250.16,75668.21,51611.28,68440.35,46,Completed
TXN0000011,2024-05-26 00:00:00,D006,R003,Hardware,260827.58,292566.6,166605.7,144819.58,160,Completed
TXN0000012,2026-08-04 00:00:00,D009,R001,Services,148347.84,142152.36,98267.41,82408.22,102,Completed
TXN0000013,2024-04-24 00:00:00,D009,R001,Hardware,252176.02,293184.82,176464.77,169193.78,63,Completed
TXN0000014,2025-03-08 00:00:00,D006,R003, software ,191709.22,201603.44,137069.44,137944.43,150,Completed
TXN0000015,2026-07-28 00:00:00,D004,R001,Consulting,126958.56,125860.2,72364.07,77067.9,41,Completed
TXN0000016,2025-06-22 00:00:00,D003,R003,Subscription,202563.35,181183.92,82536.91,70826.15,154,Pending
TXN0000017,2024-10-10 00:00:00,D010,R002,Services,163068.13,188071.99,89471.02,82027.89,135,Pending
TXN0000018,2024-11-09 00:00:00,D002,R002,Software,157253.48,146805.27,104233.15,103297.13,165,Completed
TXN0000019,2026-02-20 00:00:00,D007,R004,Consulting,125115.05,123401.48,73147.42,69245.55,157,Pending
TXN0000020,2024-01-24 00:00:00,D009,R001,Subscription,155354.97,157003.29,95818.33,100341.24,179,Completed
TXN0000021,2025-11-27 00:00:00,D009,R001,Support,58915.91,59132.74,54766.68,44851.14,33,Completed
TXN0000022,2025-06-23 00:00:00,D007,R004,Software,173767.5,168094.43,115307.23,116309.59,133,Completed
TXN0000023,2025-09-03 00:00:00,D009,R001,Support,102814.72,104927.4,46997.39,54166.26,168,Cancelled
TXN0000024,31-02-2025,D010,R002,Hardware,180774.76,134589.47,131861.89,138852.65,143,Cancelled
TXN0000025,2024-02-09 00:00:00,D001,R001,Consulting,101098.17,103247.79,81758.88,79144.64,33,Completed
TXN0000026,2024-06-10 00:00:00,D005,R002,Services,160500.63,175573.82,68260.25,72301.01,26,Pending
TXN0000027,2024-09-14 00:00:00,D002,R002,Subscription,167484.62,170825.05,101258.25,100302.23,37,Pending
TXN0000028,2026-05-16 00:00:00,D009,R001,Subscription,167214.19,179122.71,94988.85,81018.53,59,Cancelled
TXN0000029,2026-02-03 00:00:00,D004,R001,Consulting,166979.93,172125.31,81761.81,82519.31,117,Cancelled
TXN0000030,2024-05-11 00:00:00,D008,R004,Services,169196.61,unknown,73838.72,91363.62,91,Completed
TXN0000031,2025-03-27 00:00:00,,R002,Subscription,152932.82,,79146.2,78791.42,6,Completed
TXN0000032,2025-11-07 00:00:00,D001,R001,Software,188964.78,215403.97,124558.43,142755.09,23,Cancelled
TXN0000033,31-02-2025,D004,R001,Consulting,139077.52,133723.05,65576.96,48682.13,143,Completed
TXN0000034,2026-08-26 00:00:00,D010,R002,Services,134368.74,99395.62,94710.41,122875.91,109,Completed
TXN0000035,2025-12-26 00:00:00,D002,R002,Consulting,105947.14,122909.68,57579.46,52640.82,113,Pending
TXN0000036,2024-07-20 00:00:00,D008,R004,Software,185611.06,197166.83,116781.59,97738.73,20,Pending
TXN0000037,2025-05-24 00:00:00,D006,R003,Software,191592.31,193168.63,119869.81,121736.87,54,Completed
TXN0000038,2025-01-10 00:00:00,D009,R001,Consulting,136588.29,159651.78,82247.64,106297.09,76,Pending
